tweet_id,tweet_text,class_label
7.28674E+17,RT @FoothillsFCU23: In response the to the #FortMacFire we will be collecting cash donations at the gate before our final preseason game ht,rescue_volunteering_or_donation_effort
7.29787E+17,Redcross is offering charitable donation receipts for donations of $20 or more. You can support Wildfire Relief at,rescue_volunteering_or_donation_effort
7.3051E+17,RT @globeandmail: Red Cross to transfer $50-million to evacuees from Fort McMurray wildfire,rescue_volunteering_or_donation_effort
7.33706E+17,Live: Emergency operations briefing on north Alberta wildfire,other_relevant_information
7.30606E+17,"$9bn fire damage to Fort McMurray, ‘the beast’ will affect forests, carbon emissions, air, water pollution, waste",infrastructure_and_utility_damage
7.29511E+17,Labatt brewing water for Fort McMurray relief. #labatts,rescue_volunteering_or_donation_effort
7.2969E+17,RT @joshvisser: ICYMI: Free lap dances being offered to Fort Mac evacuees.  via @sarahberms with a hat tip to @allis,displaced_people_and_evacuations
7.28819E+17,RT @Iconix22: #ymmhelps #FortMacFire #ymmfire #FortMcMurray An Angel with its wings spread trying to put out the fires,other_relevant_information
7.29052E+17,"RT @marcmack: Devastating wildfire in Fort McMurray, northern Alberta: 80000 evacuated, 1600 homes destroyed. Text REDCROSS to 30333 &amp; dona",displaced_people_and_evacuations
7.34066E+17,Survival Tip#11 #survival #prepping #evacuation #bugout #wildfire #FortMac #FortMacFire,caution_and_advice
7.31223E+17,RT @SikhPA: SIKH OFFERS 100 APARTMENTS TO DISPLACED WILDFIRE VICTIMS  #Canada #Alberta #FortMacFire #RT .,displaced_people_and_evacuations
7.32281E+17,"A great personal story by @kylemuzyka, a Slave Lake evacuee, about the lasting effects of a wildfire and evacuation.",displaced_people_and_evacuations
7.30896E+17,@1derboyYoshi yeah it was! Super amazing that each donut purchase goes to the wildfire damage. Like aaaah and the donut is so pretty ;u;,rescue_volunteering_or_donation_effort
7.29121E+17,RT @GlobalCalgary: Red Cross sets up family reunification number for Fort McMurray wildfire evacuees: 1-888-350-6070 #ymmfire #abfire,rescue_volunteering_or_donation_effort
7.32879E+17,Help save @WildFireFestUK &amp; donate now! Even a small donation is a big help #LetsDoThis,rescue_volunteering_or_donation_effort
7.31962E+17,Satellite Imagery of Fort McMurray Wildfire Damage,infrastructure_and_utility_damage
7.29359E+17,"Steve Roberts, exec director wildfire management, says high fire extreme, low humidity. Wide spread chance of lightning #Sask",other_relevant_information
7.30555E+17,RT @GlobalEdmonton: WATCH: Fort McMurray wildfire evacuees line up for financial assistance in #yeg @JWongGlobalNews reports #ymmfire htt,displaced_people_and_evacuations
7.29069E+17,Auction is live! Go to @ymmauction on IG to help raise money for wildfire victims of #fortmac #FortMacFire,rescue_volunteering_or_donation_effort
7.28586E+17,Just to give you an idea of the size of the path of destruction the Fort Mac wildfire has caused. Scary stuff. :( dh,infrastructure_and_utility_damage
7.28604E+17,@RMWoodBuffalo do you want residents to update their location status at wildfire@rmwb.ca once they relocate from camps north of YMM?,displaced_people_and_evacuations
7.28982E+17,RT @mb_adventurist: Wildfires in Nopiming and Whiteshell are spreading. Be careful out there folks. Check for travel bans. #manitoba #backc,caution_and_advice
7.29246E+17,Fort McMurray wildfire: Maritimers eager to aid evacuees,displaced_people_and_evacuations
7.28666E+17,"Because he is an awesome dude, @classified is donating the proceeds from his new tune to #FortMacFire relief",rescue_volunteering_or_donation_effort
7.28685E+17,Thoughts and prayers?.. Ok but how about texting REDCROSS to 30333 to donate $5 for the unfortunate ppl of #FortMcMurray #wildfire #Canada,rescue_volunteering_or_donation_effort
7.29416E+17,Notley will visit Fort McMurray tomorrow  amid cautious optimism re: #ymmfire,not_humanitarian
7.286E+17,RT @Realty4: Video: An aerial look at the Fort McMurray wildfire - Albertas government has declared a state of emergency af,other_relevant_information
7.29045E+17,"Wildfire evacuees get supplies, support at evacuation center",displaced_people_and_evacuations
7.29408E+17,Can someone not invent a large fire resistant massive inflatable water pipe 2 surround affected area then burst it,not_humanitarian
7.28602E+17,@atbfinancial 2/2 the wildfire situation if I were to win please donate it to the Red Cross #FriendshipPays,rescue_volunteering_or_donation_effort
7.28609E+17,Communities south of Fort McMurray ordered to leave as wildfire advances,displaced_people_and_evacuations
7.2946E+17,"Russia says it will send water bombers to fight the flames, but Canada hasnt said whether were goi  via @cbcnews",rescue_volunteering_or_donation_effort
7.31658E+17,RT @RobKIRO7: Next at 630 on @KIRO7Seattle - latest on wildfire near Gold Bar. Still about 100 homes may be evacd as 12 have already been.,displaced_people_and_evacuations
7.29445E+17,Wildfire evacuees in northern B.C. allowed to return home but evacuation alerts remain  #BCwildfire @BCGovFireInfo,displaced_people_and_evacuations
7.33025E+17,@WotherspoonT says govt can help firefighters by restoring funding to wildfire mgmt. ($50 mil. cut since 09) #skpoli,rescue_volunteering_or_donation_effort
7.30016E+17,CANADA ALBERTA: #FortMacFire damage: oil firms plan restart: 88K evacuees; 2400 buildings destroyed; #WTP operating,displaced_people_and_evacuations
7.34921E+17,RT @ElectricInTX Solar will grow like wildfire in Texas homes. #solarenergy #solar #energy #Texas #solarpower,other_relevant_information
7.29138E+17,"RT @ImpactBrassSA: Thank you to everyone who came out to support us! Over $2,000 was raised tonight for wildfire relief efforts out west!",rescue_volunteering_or_donation_effort
7.34778E+17,RT @calgaryherald: The fires that those guys fought is a lifetime of fires for a firefighter. Crews dealing with stress post-wildfire htt,other_relevant_information
7.30725E+17,Long lineups expected for wildfire relief cards: Hundreds of people will be waiting outside Calgary’s McMahon,rescue_volunteering_or_donation_effort
7.29735E+17,All help is needed!! And welcomed.,requests_or_urgent_needs
7.28607E+17,RT @naomiyamamoto: BC Liquor stores accepting donations to help Alberta wildfire relief efforts:  @RedCrossAB,rescue_volunteering_or_donation_effort
7.29514E+17,RT @m_m_campbell: Not cool. The climate context for Albertas wildfires. Good perspective:  #environment #climate #y,other_relevant_information
7.28625E+17,Coronation has donated to the Red Cross to support Alberta Wildfire relief. PLEASE follow this link and donate.,rescue_volunteering_or_donation_effort
7.29139E+17,"RT @abcnews: Out of control #FortMcMurray wildfire doubles in size, homes destroyed",infrastructure_and_utility_damage
7.3194E+17,Alberta government releases #FortMcMurray wildfire damage surveillance app,infrastructure_and_utility_damage
7.33692E+17,Gee Im with AMA I guess I should look to change. Im not interested in dealing with poor businesses vendor,not_humanitarian
7.29333E+17,"Ontario boys lemonade stand raises more than $2,500 for Alberta wildfire relief  ὠA5 years old, and an inspirationὄF",rescue_volunteering_or_donation_effort
7.2997E+17,RT @tiniskwerl: #FortMacFire from #Space #Alberta 34 #Wildfires 5 #OutOfControl 23 UnderControl +1.5K #Firefighters #YMMFire #Canada :,not_humanitarian
7.31942E+17,Please pray 4 the muslims in Alberta Canada,sympathy_and_support
7.32359E+17,&gt;@CBCNorth N.W.T.s Madeline Lake fire reaches 8 hectares: N.W.T.s first wildfire of the season continues to,other_relevant_information
7.29075E+17,"RT @Alberta411: [X-post] Hi r/edmonton, Im interested in disaster relief and I would love your input on the RMWB Wildfire resp",rescue_volunteering_or_donation_effort
7.31536E+17,The goal: create fire-resilient communities in what wld be a uniquely Canadian model #wildfire #FortMacFire #cdnmuni #ubcm #cdnpoli #bcpoli,other_relevant_information
7.31811E+17,Maybe we should just burn down our homes cuz they could be flammable and ignite Our home? Uh Wait a sec. FUCK OFF,not_humanitarian
7.3419E+17,Thank you for all of your Alberta Wildfire Relief support! Please see our Facebook page for an update:  #fortmcmurray,rescue_volunteering_or_donation_effort
7.29108E+17,RT @MrRayhonda: My heart goes out to those who have lost their lives and homes in the massive wildfire in Fort McMurray This is really h,sympathy_and_support
7.28622E+17,"#Kamloops new car dealers band together to accept new clothing, household items etc for #Fort McMurray wildfire victims.",rescue_volunteering_or_donation_effort
7.35897E+17,"Were the #FortMcMurray wildfires really caused by #climatechange? Uh, no. #ymm #FortMacFire #oilsands",other_relevant_information
7.29686E+17,Victoria Playhouse #Petrolia #Lambton donated opening night proceeds to wildfire relief in Fort McMurray,rescue_volunteering_or_donation_effort
7.32963E+17,Nice article @ScottieUpshall Fort McMurray native Upshall reflects on the damage to his hometown in @PlayersTribune,infrastructure_and_utility_damage
7.28596E+17,.@CapitalOneCA Media Release: Capital One Canada Supports Wildfire Relief Efforts in Alberta,rescue_volunteering_or_donation_effort
7.28724E+17,RT @ImpactBrassSA: UPDATE: tomorrows concert will be a fundraiser for wildfire relief efforts out in Alberta. Please come out and support,rescue_volunteering_or_donation_effort
7.29492E+17,"I added a video to a @YouTube playlist  Wildfire destroys homes in Canadian city; 80,000 ordered evacuated",displaced_people_and_evacuations
7.29871E+17,RT @sconaserves: Finished a 30-level Diploma course? Msg us for a contact email to donate your notes to Gr. 12 wildfire evacuees. #AlbertaS,rescue_volunteering_or_donation_effort
7.33751E+17,RT @jana_pruden: Current emergency alerts for both wildfire and winter storm. #Alberta,caution_and_advice
7.33372E+17,"RT @GiffordOttawa: ICLRs ‘Insurers Rebuild Better Homes’ helps reduce risk of loss &amp; damage from natural hazards, including wildfire",other_relevant_information
7.29891E+17,RT @SpeedReads: Alberta premier: 90 percent of buildings survived Fort McMurray wildfire:,other_relevant_information
7.33282E+17,"RT @edmontonjournal: Save some applause for Brian Jean, writes @Graham_Journal",other_relevant_information
7.30505E+17,"As MLA for Lesser Slave Lake, @DanielleLarivee stresses she understands the strains of a wildfire evacuation. #ableg #rmwbcouncil",displaced_people_and_evacuations
7.28597E+17,"Perspectivethe Red Cross is accepting donations, everything helps  #WildFire",rescue_volunteering_or_donation_effort
7.28744E+17,RT @wpgfirefighter: Our thoughts&amp;prayers-brothers&amp;sister Firefighters&amp; Paramedics in Fort Mac. Be safe fighting those fires Fort Max http,sympathy_and_support
7.32777E+17,#Attawapiskat donates to #FortMcMurray wildfire relief fund  #redcross #cdnpoli #skpoli #sask #yeg #canpoli #youth,rescue_volunteering_or_donation_effort
7.28545E+17,"RT @TheStarPhoenix: From Red Cross donations to radiothons, Saskatchewan steps up to help Fort McMurray evacuees  ht",rescue_volunteering_or_donation_effort
7.28636E+17,"RT @CBCEdmonton: A cold one, on us: Labatt Breweries producing canned water for Fort McMurray evacuees  #yeg",rescue_volunteering_or_donation_effort
7.3281E+17,RT @MikeHudema: Wow. #Attawapiskat donates to Fort McMurray wildfire relief fund:  #ymmfire #ABfire,rescue_volunteering_or_donation_effort
7.28681E+17,RT @wlchronicle: The Chronicle will be adding links for people looking to help those affected by the fire in Fort McMurray. Check out,other_relevant_information
7.30223E+17,"RT @NatGeo: See photos of the enormous, heartbreaking wildfire in Alberta that displaced 80,000 people.",displaced_people_and_evacuations
7.28593E+17,Canadians helping Canadians #donate #albertastrong #redcross #canada #help #wildfire,other_relevant_information
7.33375E+17,RT @globalnews: Fort McMurray wildfire update: Favourable weather could spell good news for firefighting efforts #ymmfire #ymm,other_relevant_information
7.29184E+17,@DaniCim Please pray for Fort McMurray its a few hours from where I live it has a massive wildfire up there that would consume most cities.,sympathy_and_support
7.30157E+17,RT @UrtheCast: Another look at the #FortMcMurray wildfire. All images:  Donations:,rescue_volunteering_or_donation_effort
7.29334E+17,RT @twittem: Inspired by #FortMac 100% of proceeds from this Alberta Wildfire Relief tee will benefit Canadian Red Cross #ymmfire,rescue_volunteering_or_donation_effort
7.28871E+17,"DTN Canada: Ask the People: A wildfire in Fort McMurray, AL has destroyed 1,600 buildings and resulted in a m",infrastructure_and_utility_damage
7.30545E+17,RT @CBCToronto: Ontario contributes $500K to Fort McMurray wildfire relief,rescue_volunteering_or_donation_effort
7.32569E+17,RT @lisabrokop: #FortMcMurray needs us! Entire city evacuated due to massive wildfire. Text RedCross to 30333 to donate $5. #FortMacFire,displaced_people_and_evacuations
7.28677E+17,Canadian Rental Association calls for donations to Fort McMurray wildfire relief,rescue_volunteering_or_donation_effort
7.291E+17,RT @SuzanneTWN: Some good news on another tough day for #YMMfire crews. $44 million raised for Fort McMurray Wildfire Relief. /,rescue_volunteering_or_donation_effort
7.32259E+17,REVISED: Satellite maps provide survey of wildfire damage Albertans can use an online mapping application to,infrastructure_and_utility_damage
7.28911E+17,RT @AllisonChinchar: MPCA has issued an Air Quality Advisory due to wildfire smoke until 10pm  #ymmfire @DDwx htt,caution_and_advice
7.32624E+17,#BC #Sikhs drive $1 million in aid to #FortMac #wildfire evacuees:  #bcpoli #SikhFederation,rescue_volunteering_or_donation_effort
7.34814E+17,RT @Christian_LTW: Wanna see us play main stage at Warped?! Help us out!! Spread it like wildfire!,not_humanitarian
7.31654E+17,"RT @SaveChildrenCan: Were readying our 3 Child Friendly Spaces today, welcoming #kids &amp; #families affected by the wildfire. #ymmfire",rescue_volunteering_or_donation_effort
7.32351E+17,RT @Mix1037FMNews: Heres the skinny on current evacuations. #rmwb @Mix1037radio,displaced_people_and_evacuations
7.29284E+17,"RT @Digitalnun: Praying for all tweeps, esp those celebrating Ascension today, and for the well-being of all affected by the wildfire in Ca",sympathy_and_support
7.28968E+17,Rex Murphy on the Fort McMurray Wildfire. Coming to the aid of others is what Canadians do!,rescue_volunteering_or_donation_effort
7.29901E+17,RT @SpaceflightNow: Striking before and after satellite views show extent of Canadian wildfire’s destruction.,infrastructure_and_utility_damage
7.28548E+17,"#BCnews Fort McMurray wildfire: 85,000 hectare beast grows, northern evacuation efforts continue",displaced_people_and_evacuations
7.30994E+17,Well deserved. The effort from emergency services is awe-inspiring. Self care important to continue fight #ymmfire,rescue_volunteering_or_donation_effort
7.297E+17,RT @sierraclub: Alberta officials to inspect town ravaged by Canadian wildfire: Power grid is damaged &amp; the water is undrinkable /,infrastructure_and_utility_damage
7.28573E+17,Fort McMurray video shows evacuee’s terrifying wildfire escape  via @torontostar..our thoughts are with you!,displaced_people_and_evacuations
7.32865E+17,#Attawapiskat makes $5K donation to Alta. wildfire relief: Red Cross  #fortmcmurray #firstnation,rescue_volunteering_or_donation_effort
7.29155E+17,RT @NEWS1130: BC Wildfire Service says they received two reports of people about to launch drones near 2 fires near Fort St. John.,not_humanitarian
