tweet_id,tweet_text,class_label
7.68813E+17,"RT @SputnikInt: URGENT: #ItalyEarthquake death toll at 241, not prev. reported 247 - Civil Protection Dept",injured_or_dead_people
7.69041E+17,RT @DisasterChannL: MT @emergenzavvf: #ItalyEarthquake: #Firefighters rescue #dog from the rubble after 30 hrs: returned2 owner in tears ht,rescue_volunteering_or_donation_effort
7.68548E+17,More Than 120 Dead In Italy Earthquake As Towns Turned To Ruins ὢ2 #ItalyEarthquake,injured_or_dead_people
7.68517E+17,#BREAKING: Italian firefighter chief said a 8-year-old girl was pulled out alive from the rubble. #ItalyEarthquake @CBSNewYork,rescue_volunteering_or_donation_effort
7.68514E+17,@GraysonDolan @EthanDolan please Italy needs lot of help: tell people to donate 2€ by texting or calling 45500 thanks #PrayForItaly,requests_or_urgent_needs
7.68575E+17,"RT @OfficialMrX: Im praying for everyone affected by this tragedy, this is heartbreaking, I hope youre ok! stay safe Heroes. Love you. x",sympathy_and_support
7.69184E+17,Ground Still Shaking as Italy Quake Death Toll Rises to 267 - ABC News -  via @ABC #ItalyEarthquake,injured_or_dead_people
7.68476E+17,RT @gIossyagb: #PrayForItaly sending a hella lot of love and hope to everyone affected ❤️,sympathy_and_support
7.68489E+17,RT @shayliot: Thoughts are with the victims in Italy ὡ4ὡ4 #PrayForItaly,sympathy_and_support
7.68473E+17,RT @TheSun: At least 22 killed and many more feared dead after ‘apocalyptic’ 6.2 #ItalyEarthquake,injured_or_dead_people
7.68752E+17,RT @RT_com: LIVE NOW: Rescue op in #PescaraDelTronto after 6.2 #ItalyEarthquake,rescue_volunteering_or_donation_effort
7.68723E+17,RT @MikeBossio: My heart goes out to those affected by #ItalyEarthquake. My dads from Italy &amp; I have family there. The people of #Italy ar,sympathy_and_support
7.68504E+17,RT @ahtherefulla: Sending prayers to all affected by the #ItalyEarthquake. Thinking of all our Italian beasties &amp; wishing you well! #BATB,sympathy_and_support
7.68644E+17,Thanks a lot from #Italy @ladygaga. #PrayForItaly #TerremotoItalia #Terremoto,sympathy_and_support
7.687E+17,"Thanks to all those who are working hard since yesterday, any help is appreciated #PrayForItaly",sympathy_and_support
7.69463E+17,ὣ3ὣ6 290 people died #ItalyEarthquake #PrayingForItaly #Italy,injured_or_dead_people
7.69085E+17,"In this moment and time, we stand together. Visit @crocerossa if youre able to help. #earthquake #ItalyEarthquake",sympathy_and_support
7.68547E+17,All my thoughts go out to the victims of the earthquake #ItalyEarthquake,sympathy_and_support
7.69052E+17,RT @OrijiSucre: A message of solidarity to 45500 would assist quake victims. #Doyourbit #terremoto #ItalyEarthquake,rescue_volunteering_or_donation_effort
7.68476E+17,RT @RealMarioTemes: Sending my love and condolences to the victims in the #ItalyEarthquake ὡE,sympathy_and_support
7.685E+17,3/4 of town of Amatrice destroyed in 6.2 magnitude #ItalyEarthquake. Aftershock felt as far as Rome.,infrastructure_and_utility_damage
7.68576E+17,"RT @RNBreakfast: Its a rural area, with small villages and few roads, @TDellaLonga on the challenges rescue workers face in #Amatrice #I",other_relevant_information
7.6868E+17,Waking up to this news is sad. 247 victims. Horrific. #earthquake #ItalyEarthquake #PrayersForItaly,sympathy_and_support
7.68577E+17,RT @SMerlChest: My thoughts are with all the people living near Norcia/Rieti and the rescuers working non-stop from last night #ItalyEarthq,sympathy_and_support
7.68488E+17,RT @JesuitCollab: Lets join #PopeFrancis in praying for the victims and all those suffering as a result of the #ItalyEarthquake .,sympathy_and_support
7.68551E+17,"I hope #Rihanna on the evening of VMA dedicate the words to the victims of the earthquake in Italy, we need them. #PrayForItaly",sympathy_and_support
7.6857E+17,#prayforitaly as death toll reaches 160 and many reported missing ὤFὤFὤFὉ4Ὁ4Ὁ4 #sad #heartbroken,injured_or_dead_people
7.68475E+17,"My heart is breaking, all my love &amp; prayers go out to all the families that were affected in ItalyὢB❤️἞E἟9 #PrayForItaly",sympathy_and_support
7.68484E+17,OMG all that devastation ὡ4 thoughts and prayers go to the ppl in #ItalyEarthquake that was a huge one.,sympathy_and_support
7.6847E+17,"#PrayForItaly I hope people are safe now, so sad ,All love and prayers go to Italy",sympathy_and_support
7.685E+17,"RT @imNadimRamAli: 73 people have died, according to Italian officials in earthquake Oh God pls mercy upon us, we are urs children. #Pra",injured_or_dead_people
7.68517E+17,RT @evalyn416: Prayers go out to everyone affected. #PrayForItaly ἞E἟9❤,sympathy_and_support
7.68887E+17,RT @dmitryzaksAFP: #ItalyEarthquake death toll nears 250 @AFPs @ellaafp and @AngusM1966 via @YahooNews,injured_or_dead_people
7.6847E+17,RT @DeRozenDontCare: #PrayForItaly and Myanmar s earthquake victims and their families.ὤFἿEὤFἿE,sympathy_and_support
7.68586E+17,"#Italy, my thoughts and prayers are for you ὡ4ὤFἿB #ItalyEarthquake",sympathy_and_support
7.68519E+17,RT @ScienceChannel: Our thoughts go out to all those affected by the #ItalyEarthquake. ❤️἞E἟9,sympathy_and_support
