text,disaster,gpe,detected_gpe,response_time,query_tokens,response_tokens
RT globeandmail Red Cross to transfer 50 million to evacuees from Fort McMurray wildfire ,,Fort McMurray,Fort McMurray,3.6836,51,3
Live Emergency operations briefing on north Alberta wildfire ,Emergency,Alberta,"north alberta, alberta",3.3356,39,8
"9bn fire damage to Fort McMurray, the beast will affect forests, carbon emissions, air, water pollution, waste ","damage, fire",Fort McMurray,"Canada, Fort McMurray, The Beast",4.7458,55,8
Labatt brewing water for Fort McMurray relief. labatts ,relief,Fort McMurray,"Canada, New York City, Fort McMurray",12.1374,43,9
"RT marcmack Devastating wildfire in Fort McMurray, northern Alberta 80000 evacuated, 1600 homes destroyed. Text REDCROSS to 30333 amp; dona ","destroyed, Devastating","Alberta,  Fort McMurray","Fort McMurray, Alberta, Donado",3.6653,69,8
"A great personal story by kylemuzyka, a Slave Lake evacuee, about the lasting effects of a wildfire and evacuation. ",evacuation,Slave Lake,slave lake,2.5308,59,2
RT GlobalCalgary Red Cross sets up family reunification number for Fort McMurray wildfire evacuees 1 888 350 6070 ymmfire abfire ,,Fort McMurray,"Calgary, Fort McMurray, Area Fire",3.8909,65,9
Satellite Imagery of Fort McMurray Wildfire Damage ,Damage,Fort McMurray,"""Fort McMurray""",8.1188,42,5
RT GlobalEdmonton WATCH Fort McMurray wildfire evacuees line up for financial assistance in yeg JWongGlobalNews reports ymmfire htt ,assistance,Fort McMurray,"Edmonton , Fort McMurray",3.0733,60,6
RT mb adventurist Wildfires in Nopiming and Whiteshell are spreading. Be careful out there folks. Check for travel bans. manitoba backc ,,manitoba,"Nopiming, Whiteshell, manitoba",4.9846,64,10
Fort McMurray wildfire Maritimers eager to aid evacuees ,,Fort McMurray,"Fort McMurray, Maritimers",4.3931,44,7
Thoughts and prayers? . . Ok but how about texting REDCROSS to 30333 to donate 5 for the unfortunate ppl of FortMcMurray wildfire Canada ,Thoughts,Canada,"Country names: Canada, City name: FortMcMurray",5.0562,65,12
Notley will visit Fort McMurray tomorrow amid cautious optimism re ymmfire ,,Fort McMurray,Notley will visit Fort McMurray tomorrow amid cautious optimism re yymmfire,5.3109,46,15
RT Realty4 Video An aerial look at the Fort McMurray wildfire Albertas government has declared a state of emergency af ,emergency,Fort McMurray,"Fort McMurray, Alberta, Canada",4.2305,54,7
