text,disaster,gpe,detected_gpe,response_time,query_tokens,response_tokens
GraysonDolan EthanDolan please Italy needs lot of help tell people to donate 2 by texting or calling 45500 thanks PrayForItaly ,,Italy,"GraysonDolan, EthanDolan, Italy, 45500, PrayForItaly",15.9729,62,19
Ground Still Shaking as Italy Quake Death Toll Rises to 267 ABC News via ABC ItalyEarthquake ,"Shaking, Ground",Italy,"Italy, Earthquake",4.1701,53,4
RT MikeBossio My heart goes out to those affected by ItalyEarthquake. My dads from Italy amp; I have family there. The people of Italy ar ,,"Italy,  Italy",Italy,8.0929,63,1
Thanks a lot from Italy ladygaga. PrayForItaly TerremotoItalia Terremoto ,,Italy,"Italy, Terremoto",5.1553,52,5
3 4 of town of Amatrice destroyed in 6.2 magnitude ItalyEarthquake. Aftershock felt as far as Rome. ,"felt, Aftershock, magnitude, destroyed","Rome,  Amatrice","Amatria, Rome, Italy, Earthquake",10.6876,60,10
"RT RNBreakfast Its a rural area, with small villages and few roads, TDellaLonga on the challenges rescue workers face in Amatrice I ",rescue,Amatrice,"RT RNBreakfast, Its rural area, small villages and few roads, TDellaLonga on the challenges rescue workers face in Amatrice I.",9.0707,61,30
RT SMerlChest My thoughts are with all the people living near Norcia Rieti and the rescuers working non stop from last night ItalyEarthq ,thoughts,"Rieti,  Norcia","Norcia Rieti, All the people living near, Nice Rieti, rescuers from Nice working non-stop in ItalyEarthq",10.9712,64,28
"I hope Rihanna on the evening of VMA dedicate the words to the victims of the earthquake in Italy, we need them. PrayForItaly ",earthquake,Italy,"VMA, Italy",4.9252,60,4
"PrayForItaly I hope people are safe now, so sad , All love and prayers go to Italy ",,Italy,Italy,13.8348,52,1
"RT kathyireland Italy earthquake at least 73 killed in mountain villages live Please, PrayForItaly ",earthquake,Italy,"""kathy ireland"", ""italy"", ""mountain villages""",8.2911,53,14
RT MileyOfficialEU Our prayers and thoughts go to the families who lost their homes and loved ones PrayForItaly Amatrice ,thoughts,Amatrice,"Europe, Italy",12.5255,57,3
RT SputnikInt URGENT Death toll in ItalyEarthquake rises to 278 Italy ,,Italy,"Romania, International, Italy",5.1251,50,6
RT sgokce Thoughts and prayers are with the souls Italy after this devastating earthquake Couraggio Italia! PrayForItaly ,"earthquake, devastating, Thoughts",Italy,"The locations identified are:, - SGOKCE, - CURYAGIO ITALY",8.1831,55,18
RT SweetCice 00 Pray for everyone struck by the earthquake in Central Italy. I felt the shock of the earthquake quite strongly in Umbria. ,"earthquake, felt, earthquake","Umbria,  Italy","Central Italy, Umbria",5.8742,62,5
RT KTP news Civil protection workers preparing tent camp for evacuated residents of Amatrice ItalyEarthquake ,,Amatrice,"RT, KTP news, civil protection workers, tent camp, Amatrice, Italy, Earthquake",6.1839,50,20
RT braddancingtto text or call 45500 to donate. It only takes u one second. Think about all the families that today have lost everything ,,,"Ruston, Ruston",8.308,63,6
Italy prepares to mourn earthquake dead ItalyEarthquake ,earthquake,Italy,"Italy, Earthquake",10.2998,40,4
"RT ItalianTalks We are deeply saddened as the Italy quake death toll hits 281, state funeral planned via Reuters ",,Italy,"Italy, Union",5.3522,54,3
Italian firefighters save a little girl after one day of ItalyEarthquake terremoto TerremotoItalia ,,,"Italy, Terremoto, TerremotoItalia",26.6512,52,11
"Details of where you can take donations of food, clothes etc in Rome for those affected by ItalyEarthquake ",,Rome,"Rome, Italy",6.4048,52,4
I know they need shoes and clothes for all and in particular for children in Amatrice Accumoli ItalyEarthquake ,,Amatrice,The sentence includes two locations separated by commas: **Amatrice Accumoli** and **Italy**.,4.9772,53,20
Thoughts and prayers will you Italy. This is how I remember you beautiful and vibrant. ItalyEarthquake 267 dead. ,Thoughts,Italy,"Italy, Italy",4.4959,56,3
RT pmindy44 So sad to here about the earthquakes in Italy. Prayers go out to everyone involved especially my friends over there PrayforI ,,Italy,Italy,4.198,61,1
NiallOfficial big earthquake here in Italy E 9 Please pray for my country ItalyEarthquake ,earthquake, Italy,Italy,5.0165,51,1
"Madonna Here in Italy, an earthquake affected Lazio, Marche and Umbria. PrayForItaly ",earthquake,"Umbria,  Marche,  Lazio,  Italy","Italy, Lazio, Marche, Umbria",11.6526,53,10
RT NickGroff Prayers and thoughts go out to all in Italy earthquake RT gwenboleyn No words needed. ItalyEarthquake ,"earthquake, thoughts",Italy,"Italy, ItalyEarthquake",5.367,58,5
marioafrica RT ItalyUN NY Stories of solidarity during ItalyEarthquake Italy hosted migrants rushed to join ,solidarity,Italy,"Italy, Migrants (specifically from Italy), Hosted migrants (specifically from Italy)",6.4716,52,19
RT favouritizm Please donate or RT to help the Earthquake victims of Lazio ItalyEarthquake TerremotoItalia ,Earthquake,Lazio,"Lazio, Terremoto",4.4956,57,6
"RT giardinifranca My thoughts, prayers and flowers to all the victims ItalyEarthquake amatrice ",thoughts,amatrice,Italy,4.9687,52,1
"RT CatholicNewsSvc PopeFrancis ditches Weds audience talk to pray for ItalyEarthquake victims, sends help http ",,,"PopeFrancis, Italy, Vicarious Earthquake Veto",4.8614,55,13
"RT ABC7News ItalyEarthquake update Per ABC, at least 73 people are dead following the earthquake that struck Central Italy. ",earthquake,Italy,"Italy, Central Italy",3.152,57,4
"those wishing to donate goods to victims of ItalyEarthquake, can do so at the following collection points in Rome ",,Rome,Rome,5.9099,53,2
"RT J Bella S ItalyEarthquake My thoughts and prayers are with you, your families and country with ",thoughts,Bella,"The sentence contains a location identified by the word ""St."" followed by the country's name ""Italy."" The specific locations extracted are:, - St. Italy, - Your Family(s), - Country with",5.6873,51,40
RT fmdesmarais ItalyEarthquake In Amatrice the City Museum amp; 2 churches severely damaged. IcomOfficiel following the situation. ,,Amatrice,"Italy, Amiens, Paris",3.8137,62,6
"My heart, thought and prayers to all the people affected by the earthquake in my country lt; 3 Italy ItalyEarthquake ",earthquake,Italy,"The locations identified after ""my country"" include 3 Italy, 4 Italy, and Earthquake.",59.9217,56,21
RT abcnews UPDATE Eight foreigners confirmed among dead in ItalyEarthquake aftershocks hampering rescue efforts in Amatrice ,"efforts, rescue",Amatrice,"Italy, Amatrice",3.2313,54,4
"ITALY IS STRONG, WELL FIGHT! solidarity grazie thankyou terremoto italia prayforitaly Italy terremotoitalia ","solidarity, STRONG","Italy,  ITALY","ITALY, TURKEY, URSS, PRAGOA, ITALIA, TURKEY, ITALY, termoduro, prag OA",4.4409,61,32
