text,disaster,gpe,detected_gpe,response_time,query_tokens,response_tokens
"Major Tsunami Warning 1 1, 4 22pm The Tsunami Warning has been upgraded to a Major Tsunami Warning. Waves of up to 5m are expected. Those near coastal areas, rivers, or lakes should evacuate to higher ground immediately. tsunami ","tsunami, ground, Warning, Tsunami, Warning, Tsunami, Warning, Tsunami",nan,"""1 Coastal areas, 2 Rivers, 3 Lakes, 4 tsunami.""",6.0752,86,17
"According to mathematical and tectonophysical modeling, at the end of 2024 we will enter the active phase of the 24, 000 year catastrophe cycle, i. e. a new volcanic epoch characterized by the widespread rise of magma and erosion of lithospheric plates by magmatic flows earthquake ",earthquake,nan,v Volcanic Epoch,4.7211,92,5
"Earlier video showing smaller wave caused by the earthquake off the coast of the Noto Peninsula in western Japan traveling up the Seki River in Joetsu City, Niigata Prefecture. Tsunami warnings still in place! ","Tsunami, earthquake","Niigata Prefecture,  Joetsu,  Seki,  Japan,  Noto Peninsula","Joetsu City, Niigata Prefecture, Noto Peninsula",6.9786,76,14
"Tsunami Advisory 8 8, 4 44pm A Tsunami Advisory has been issued. Waves of up to 1m are expected. Those near coastal areas, rivers, or lakes should evacuate to higher ground immediately. tsunami ","tsunami, ground, Tsunami, Tsunami",nan,8 4,8.008,80,3
"UNCONFIRMED video of considerable damage in Noto, Japan following a 7.5 magnitude earthquake striking 36 km northeast of Anamizu, Japan. . . . . Credit to the original uploader ","earthquake, magnitude, damage","Japan,  Anamizu,  Japan,  Noto","Noto, Japan, Anamizu, Japan",4.166,73,10
"Earthquakes in the Noto peninsula, Japan, before and after January 1, 2024 toki toki 2LC ",,"toki,  toki,  Japan,  Noto peninsula","Noto, Japan, 2024",4.8703,59,8
ITALY records strongest earthquake in 40 years! Even larger Earthquakes could be expected and a worst case scenario of a volcanic Eruption of the Super Volcano Campi Flegrei near Naples in southern Italy. HOMES Damaged and people being Evacuated because of the Earthquake ,"Earthquake, Volcano, Eruption, earthquake","Italy,  ITALY",ITALY NAPLES CAMPI FLEGRE,5.2467,91,10
The Major Tsunami Warning has been downgraded to a Tsunami Warning. Downgraded from Major Tsunami Warning to Tsunami Warning Noto Peninsula of Ishikawa Prefecture Do not return home until all tsunami warnings advisories have been lifted. japan tsunami ,"tsunami, tsunami, Warning, Tsunami, Warning, Tsunami, Warning, Tsunami, Warning, Tsunami","japan,  Ishikawa Prefecture,  Noto Peninsula","Major Tsunami Warning, Tsunami Warning, Tono Peninsula of Ishikawa Prefecture",12.0195,82,18
"Tsunami Warning 1 1, 4 12pm A Tsunami Warning has been issued. Waves of up to 3m are expected. Those near coastal areas, rivers, or lakes should evacuate to higher ground immediately. tsunami ","tsunami, ground, Warning, Tsunami, Warning, Tsunami",nan,"coastal areas, rivers, lakes",7.3458,80,8
"Earthquake Detailed Report 1 1 At around 4 10pm, an earthquake with a magnitude of 7.4 occurred near Noto, Ishikawa Prefecture at a very shallow depth. The maximum intensity was 7. Tsunami warnings advisories have been issued. earthquake ","earthquake, Tsunami, intensity, depth, shallow, magnitude, earthquake, Earthquake","Ishikawa Prefecture,  Noto","38°30'W, 1°54'N, 10pm, Noto",7.2614,90,19
"Earthquake Detailed Report 1 1 At around 4 10pm, an earthquake with a magnitude of 7.6 occurred near Noto, Ishikawa Prefecture at a very shallow depth. The maximum intensity was 7. Tsunami warnings advisories have been issued. earthquake ","earthquake, Tsunami, intensity, depth, shallow, magnitude, earthquake, Earthquake","Ishikawa Prefecture,  Noto","Noto, Ishikawa Prefecture",3.4842,90,8
The 2024 magnitude 7.5 Noto earthquake in Japan occurred on a fault system that has seen repeated seismic swarms since 2020. New research in Science deciphers the intense ground motion of the event. Learn more in this week s issue ,"ground, intense, seismic, fault, earthquake, magnitude","Japan,  Noto",Noto,7.8221,83,2
"Tsunami Advisory 1 2, 7 30am The Tsunami Advisory has been updated. Waves of up to 1m are expected. Those near coastal areas, rivers, or lakes should evacuate to higher ground immediately. tsunami ","tsunami, ground, Tsunami, Tsunami",nan,"Tsunami Advisory 1, Tsunami Advisory 2, coastal areas, rivers, and lakes",4.9876,80,20
"The aftershock pattern in purple suggests that the M7.5 Noto earthquake ruptured bilaterally, with the preliminary NEIC slip model also indicating slip on both sides of the epicenter ","epicenter, earthquake, aftershock",Noto,Noto,5.9727,71,2
"Major earthquake off Noto Pensinsula Japan, emergency alert on phone and very noticeable shaking here in central Nagano. Preliminary M7.4 with Shindo 7 shaking, this is a major event ","shaking, shaking, alert, emergency, earthquake","Shindo,  Nagano,  Japan,  Noto","Noto Pensinsula, Nagano prefecture, central Nagano",6.1131,72,13
EARTHQUAKES PLATE MOVEMENTS COMPRESSING PACIFIC SOUTH AMERICA ROLL INDO AUSTRALIA TILTING Comment by Kojima 1 hour ago IRIS EQ Map 2024 10 2 T00 03 New Madrid Jolt timeline Earth Changes and the Pole Shift ,PLATE,AUSTRALIA,"pacificsouthamerica,inado,tilting",8.3184,95,10
"GRL Nearshore Propagation and Amplification of the Tsunami Following the 2024 Noto Peninsula Earthquake, Japan ","Earthquake, Tsunami","Japan,  Noto Peninsula","Noto Peninsula, Japan, and the 2024 Noto Peninsula Earthquake",6.8547,56,16
