text,disaster,gpe,detected_gpe,response_time,query_tokens,response_tokens
RT FCBarcelona Our solidarity with the victims of the earthquake in Mexico ,"earthquake, solidarity",Mexico,"Flores Carioca Barcelona, Mexico, Mexico City",10.4179,45,11
Mexico earthquake Many children killed at primary school ,earthquake,Mexico,"Mexico, earthquake",3.8867,39,3
RT AmichaiStein1 BREAKING Israel search amp; rescue mission headed to Mexico after 7.1M earthquake ,"earthquake, rescue, search","Mexico,  Israel","RT Amichai Stein 1, Israel, Mexico",5.4892,56,11
"NEWS At least 200 people, including 21 children, have died in Mexico after an earthquake hit the country. ","earthquake, died",Mexico,"Mexico, Mexico City",5.1941,54,4
"RT TravelLeisure Deadly earthquake shakes Mexico City, causes buildings to crumble ",earthquake,Mexico City,Mexico City,4.7382,46,2
RT Jentezen We are praying for all the people in Mexico who are suffering from the earthquake. ,earthquake,Mexico,Mexico,5.9577,51,1
RT jorge guajardo Mexico City airport after today s earthquake. ,earthquake,Mexico City,Mexico MX,14.8944,45,2
Vice More Than 200 Dead After Earthquake Rocks Mexico City The death toll is. . ,"death, Earthquake",Mexico City,Mexico City,3.9089,50,2
RT thehill Obama sends big hug to Mexico after deadly earthquake ,earthquake,Mexico,"thehill, mexico, mexico",2.5482,43,6
". Beyonce, BarackObama, and selenagomez are among those to offer kind words for Mexico. ",,Mexico,"Beyonce, Barack Obama, and Selenagomez are among those to offer kind words for Mexico.",3.6347,53,22
Mexico City Hit by 7.1 Earthquake ,Earthquake,Mexico City,Mexico City,3.0227,41,2
RT thedailybeast Images from Mexico City s devastating earthquake ,"earthquake, devastating",Mexico City,"Mexico City, the Beast",4.4591,43,5
NFL reviewing whether Mexico City game can go on after earthquake fantasyfootball ,earthquake,Mexico City,"Mexico City, Mexico City",4.1837,44,5
RT BBGVisualData Hushed Crews Listen for Survivors After Mexico Earthquake Toll Tops 200 ,Earthquake,Mexico,"Mexico,BBGVisualData",6.0396,52,5
Rescuers search rubble as dawn breaks in Mexico City; earthquake toll hits 217 ,"earthquake, rubble, search",Mexico City,"Mexico City, Mexico",3.0676,48,4
Sending our thoughts and prayers out to Mexico. What a horrendous earthquake. TheRealSambora orianthi RSOofficial ,"earthquake, thoughts",Mexico,"Mexico,Samborno地震的基址,Real Sambora地震的办公室",4.5391,58,24
Foreign Office issues warning following Mexico earthquake ,"earthquake, warning",Mexico,"Mexico, Thursday",3.9188,38,3
The human tragedy of Mexico s 1985 earthquake Video latest news followback ,"earthquake, tragedy",Mexico,Mexico,6.3098,46,1
