text,disaster,gpe,response_time,query_tokens,response_tokens,detected_gpe
"Major Tsunami Warning 1 1, 4 22pm The Tsunami Warning has been upgraded to a Major Tsunami Warning. Waves of up to 5m are expected. Those near coastal areas, rivers, or lakes should evacuate to higher ground immediately. tsunami ","tsunami, ground, Warning, Tsunami, Warning, Tsunami, Warning, Tsunami",,6.0752,86,17,2 3pm The Tsunami Warning has been upgraded to a tsunam
"According to mathematical and tectonophysical modeling, at the end of 2024 we will enter the active phase of the 24, 000 year catastrophe cycle, i. e. a new volcanic epoch characterized by the widespread rise of magma and erosion of lithospheric plates by magmatic flows earthquake ",earthquake,,4.7211,92,5,"23, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 2"
"Earlier video showing smaller wave caused by the earthquake off the coast of the Noto Peninsula in western Japan traveling up the Seki River in Joetsu City, Niigata Prefecture. Tsunami warnings still in place! ","Tsunami, earthquake","Niigata Prefecture,  Joetsu,  Seki,  Japan,  Noto Peninsula",6.9786,76,14,-
"Tsunami Advisory 8 8, 4 44pm A Tsunami Advisory has been issued. Waves of up to 1m are expected. Those near coastal areas, rivers, or lakes should evacuate to higher ground immediately. tsunami ","tsunami, ground, Tsunami, Tsunami",,8.008,80,3,"Coastal areas, rivers, or lakes"
"UNCONFIRMED video of considerable damage in Noto, Japan following a 7.5 magnitude earthquake striking 36 km northeast of Anamizu, Japan. . . . . Credit to the original uploader ","earthquake, magnitude, damage","Japan,  Anamizu,  Japan,  Noto",4.166,73,10,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
"Earthquakes in the Noto peninsula, Japan, before and after January 1, 2024 toki toki 2LC ",,"toki,  toki,  Japan,  Noto peninsula",4.8703,59,8,"2024, as well as the earthquake in Noto island, Japan, on January 1, 2024., Please find:, Noto, Japan, January 1, 2024, Noto"
ITALY records strongest earthquake in 40 years! Even larger Earthquakes could be expected and a worst case scenario of a volcanic Eruption of the Super Volcano Campi Flegrei near Naples in southern Italy. HOMES Damaged and people being Evacuated because of the Earthquake ,"Earthquake, Volcano, Eruption, earthquake","Italy,  ITALY",5.2467,91,10,425000 m above ground. The Emission of CO2 from the city is expected to be 4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
The Major Tsunami Warning has been downgraded to a Tsunami Warning. Downgraded from Major Tsunami Warning to Tsunami Warning Noto Peninsula of Ishikawa Prefecture Do not return home until all tsunami warnings advisories have been lifted. japan tsunami ,"tsunami, tsunami, Warning, Tsunami, Warning, Tsunami, Warning, Tsunami, Warning, Tsunami","japan,  Ishikawa Prefecture,  Noto Peninsula",12.0195,82,18,2005. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami. 2005 Japan tsunami
"Tsunami Warning 1 1, 4 12pm A Tsunami Warning has been issued. Waves of up to 3m are expected. Those near coastal areas, rivers, or lakes should evacuate to higher ground immediately. tsunami ","tsunami, ground, Warning, Tsunami, Warning, Tsunami",,7.3458,80,8,1 2 4 12pm A tsunami 1 2 4 12pm A tsunami 1 2 4 12pm A tsunami 1 2 4 12pm A tsunami 1 2 4 12pm A
"Earthquake Detailed Report 1 1 At around 4 10pm, an earthquake with a magnitude of 7.4 occurred near Noto, Ishikawa Prefecture at a very shallow depth. The maximum intensity was 7. Tsunami warnings advisories have been issued. earthquake ","earthquake, Tsunami, intensity, depth, shallow, magnitude, earthquake, Earthquake","Ishikawa Prefecture,  Noto",7.2614,90,19,"1 (1) At around 4 10pm, an earthquake with a magnitude of 7.4 occurred near Noto, Ishikawa Prefecture at a very shallow depth. The maximum intensity was 7. Tsunami warnings advisories have been issued. earthquake 1 (2) At around 4 10pm, an earthquake with a magnitude of 7.4 occurred near Noto, Ishikawa Prefecture at a very shallow depth. The maximum intensity was 7. Tsunami warnings advisories have been issued. earthquake 1 (3) At around 4 10pm, an earthquake with a magnitude of 7.4 occurred near Noto, Ishikawa Prefecture at a very shallow depth. The maximum intensity was 7. Tsunami warnings advisories have been issued. earthquake 1 (4) At around 4 10pm, an earthquake with a magnitude of 7.4 occurred near Noto, Ishikawa Prefecture at a very shallow depth. The maximum intensity was 7. Tsunami warnings advisories have been issued. earthquake 1 (5) At around 4 10pm, an earthquake with a magnitude of 7.4 occurred near Noto, Ishikawa Prefecture at a very shallow depth. The maximum intensity was 7. Tsunami warnings advisories have been issued. earthquake 1 (6) At around 4 10pm, an earthquake with a magnitude of 7.4 occurred near Noto, Ishikawa Prefecture at a very shallow depth. The maximum intensity was 7. Tsunami warnings advis"
