text,disaster,gpe,response_time,query_tokens,response_tokens,detected_gpe
"Major Tsunami Warning 1 1, 4 22pm The Tsunami Warning has been upgraded to a Major Tsunami Warning. Waves of up to 5m are expected. Those near coastal areas, rivers, or lakes should evacuate to higher ground immediately. tsunami ","tsunami, ground, Warning, Tsunami, Warning, Tsunami, Warning, Tsunami",,6.0752,86,17,2 3pm The Tsunami Warning has been upgraded to a Tsunami Warning.
"According to mathematical and tectonophysical modeling, at the end of 2024 we will enter the active phase of the 24, 000 year catastrophe cycle, i. e. a new volcanic epoch characterized by the widespread rise of magma and erosion of lithospheric plates by magmatic flows earthquake ",earthquake,,4.7211,92,5,"United States, New York, New York"
"Earlier video showing smaller wave caused by the earthquake off the coast of the Noto Peninsula in western Japan traveling up the Seki River in Joetsu City, Niigata Prefecture. Tsunami warnings still in place! ","Tsunami, earthquake","Niigata Prefecture,  Joetsu,  Seki,  Japan,  Noto Peninsula",6.9786,76,14,"Noto Peninsula, Joetsu Prefecture, Seki River"
"Tsunami Advisory 8 8, 4 44pm A Tsunami Advisory has been issued. Waves of up to 1m are expected. Those near coastal areas, rivers, or lakes should evacuate to higher ground immediately. tsunami ","tsunami, ground, Tsunami, Tsunami",,8.008,80,3,"5 5, 1900, 2000 2000, 1800 1800, 1700 1700, 1600 1600, 1500 1500, 1400 1400, 1300 1300, 1200 1200, 1100 1100, 1000 1000, 900 900, 800 800, 700 700, 600 600, 500 500, 400 400, 300 300, 200 200, 100 100, 0"
"UNCONFIRMED video of considerable damage in Noto, Japan following a 7.5 magnitude earthquake striking 36 km northeast of Anamizu, Japan. . . . . Credit to the original uploader ","earthquake, magnitude, damage","Japan,  Anamizu,  Japan,  Noto",4.166,73,10,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
"Earthquakes in the Noto peninsula, Japan, before and after January 1, 2024 toki toki 2LC ",,"toki,  toki,  Japan,  Noto peninsula",4.8703,59,8,2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2LC 2
ITALY records strongest earthquake in 40 years! Even larger Earthquakes could be expected and a worst case scenario of a volcanic Eruption of the Super Volcano Campi Flegrei near Naples in southern Italy. HOMES Damaged and people being Evacuated because of the Earthquake ,"Earthquake, Volcano, Eruption, earthquake","Italy,  ITALY",5.2467,91,10,Italy
The Major Tsunami Warning has been downgraded to a Tsunami Warning. Downgraded from Major Tsunami Warning to Tsunami Warning Noto Peninsula of Ishikawa Prefecture Do not return home until all tsunami warnings advisories have been lifted. japan tsunami ,"tsunami, tsunami, Warning, Tsunami, Warning, Tsunami, Warning, Tsunami, Warning, Tsunami","japan,  Ishikawa Prefecture,  Noto Peninsula",12.0195,82,18,japan
"Tsunami Warning 1 1, 4 12pm A Tsunami Warning has been issued. Waves of up to 3m are expected. Those near coastal areas, rivers, or lakes should evacuate to higher ground immediately. tsunami ","tsunami, ground, Warning, Tsunami, Warning, Tsunami",,7.3458,80,8,"1 1 1 2 4 12pm 3m A Tsunami has been reported. The area is near a coastal zone. Those near coastal areas, rivers, or lakes should be evacuated immediately. tsunami 1 1 1 2 4 12pm 3m A Tsunami has been reported. The area is near a coastal zone."
"Earthquake Detailed Report 1 1 At around 4 10pm, an earthquake with a magnitude of 7.4 occurred near Noto, Ishikawa Prefecture at a very shallow depth. The maximum intensity was 7. Tsunami warnings advisories have been issued. earthquake ","earthquake, Tsunami, intensity, depth, shallow, magnitude, earthquake, Earthquake","Ishikawa Prefecture,  Noto",7.2614,90,19,
