text,disaster,gpe,detected_gpe,response_time,query_tokens,response_tokens
China is willing to provide emergency humanitarian assistance to Turkey and Syria damascus istanbul turkey ankara china syria ,,"Syria,  syria,  China,  china,  Turkey,  turkey,  ankara,  damascus","China, Turkey, Syria, Damascus, Istanbul, Ankara",9.4788,54,11
"Earthquake kills more than 1, 300 in southern Turkey more than istanbul turkey ankara than ",,"Turkey,  turkey,  ankara","southern turkey, turkish cities",4.563,53,8
THOUSANDS of people in Syria and Turkey are under the rubble until now. No words can describe this tragedy. ,,"Syria,  Turkey","Syria, Turkey",7.2047,55,4
Heart heavy for Turkey Syria Lebanon and all the other places affected by the massive earthquake today. May Allah have mercy on the dead. And comfort the living . Ameen TurkeyEarthquake SiriaEarthquake ,,"Syria,  Turkey,  Lebanon","Turkey, Syria, Lebanon, and others affected by the massive earthquake.",5.3183,72,14
"Everyone of these rich kid philanthropist are nothing but smug rich assholes. Joking about 20, 000 deaths. Burn in hell ZafBaker Turkey EatTheRich earthquake ",,Turkey,"Turkey, Earth",5.4568,70,3
"OutFarsi Turkey we are so depressed, This is a painfull event when you are in the critical situation. mahsaamini TurkeyQuake ",,Turkey,Turkay,5.2768,61,3
pray for turkey and syria Turkey earthquake Syria ,,"syria,  Syria,  turkey,  Turkey","Turkey, Syria (country), Syria (organization)",4.0639,40,10
"My thoughts and prayers goes to everyone that was recently affected by the strong earthquake that hit some parts of Turkiay , Lebanon, Syria , amp; Jordan. earthquake earth dissaster PrayForTurkey TurkeyQuake ",,"Syria,  Lebanon,  Jordan","Turkiay , Lebanon, Syria , Jordan",6.4522,74,9
Make your day brighter shrooms BBBY Turkey PrayForTurkey SuperBowl Tap in ,,Turkey,"Shomblon, Turkey, SuperBowl",5.8342,49,10
Heartbreaking scenes from Syria and Turkey being shown on BBCNews tonight Proud to see the RedCrescent and SYRedCrescent on the ground providing rescue assistance and crisis support. earthquake ,,"Syria,  Turkey","Syria, Turkey, RedCrescent, Syndroid, Earthquake City",6.7325,69,16
Oh my my! Prayers for Turkey amp; Syria in this hour of grief and catastrophe. May God bless us all. earthquake PrayForTurkey ,,"Syria,  Turkey","Turkey, Syria",4.7387,61,3
The absolute cruelty of life gets even worse for the poor people of Syria Turkey earthquake ,,"Syria,  Turkey","The locations mentioned are Syria and Turkey, which are referenced within the text.",7.6674,47,15
Syria Turkey STRENGTH. ,,"Syria,  Turkey","Syria, Turkey",2.5556,38,4
