text,disaster,gpe,detected_gpe,response_time,query_tokens,response_tokens
"Armed with a chainsaw and a charitable spirit, Sister Margaret Ann is clearing Florida roads after Hurricane Irma. ",,Florida,"Florida, Hurricane Irma",6.6212,53,4
"As the work day in Haiti winds down CatholicRelief teams keep buiding shelter kits rope, nails and tarps for those affected by irma. ",shelter,Haiti,"Haiti, those affected by Irma",5.5481,61,8
Florida Nursing Home Deaths After Irma Prompt Criminal Probe Bloomberg noexcuses ElderAbuse answer ,,Florida,"Florida, New York",5.2608,48,4
"Boston Suffolk Co, MA AMATEUR RADIO reports FLOOD at 14 Sep, 7 07 PM EDT COLUMBIA ROAD NEAR SALON AND HAMILTON ROADS COMPLETELY FLOODE ",FLOOD,"HAMILTON,  COLUMBIA,  Suffolk,  Boston","Boston, Massachusetts; AMATEURRadio; Columba Road; Salon and Hamilton Roads",4.9887,74,17
"My cousins house in Oakwood, Georgia damaged from tropical storm Irma yesterday. They lost ten trees. HurricaneIrma wsbtv2 atlanta irma ",,"atlanta,  Oakwood","Oakwood, GA, Atlanta, GA",3.7139,62,8
Irma death toll in US rises to 10; leaves devastation in Florida Keys Generalnews ,devastation,Florida,"USA, Florida, Florida Keys",5.7662,49,6
Beautiful AnnaMariaIsland today! Lots of seaweed but no damage! Cant wait to see you all again soon amicondorentals florida irma ,damage,florida,"florida, irma",5.5777,62,5
River Ouse in York is at 2.0m and not expected to rise much further. Check Flood Warnings gov. uk ,Flood,York,"York, River Ouse, Flood Warnings",5.9316,58,9
Loading them up! This Great Dane dozens of others headed to NH. Palm Beach County shelter making room for animals displaced by Irma. wptv ,"displaced, shelter",Palm Beach County,"NH, Palm Beach County",5.3835,60,5
rqui This is why Mexico rescinded. FakeNews you spread. . XO ,,Mexico,Mexico,23.14,47,1
"Crews in Apopka, FL. , just northwest of Orlando, working on Irma damage assessment and restoration via DE LeeF ",damage,"Orlando,  Apopka","Apopka, FL., Orlando",4.8976,58,7
Miami Heat president Pat Riley buys groceries for Hurricane Irma victims news feedly ,,Miami,"Miami Heat, president Pat Riley, hurricane, Hurricane Irma",4.087,45,11
Look at the conditions in the Florida Keys inside Irmas eyewall. This is how SimonStormRider gets wind measurements ,,Florida,Florida Keys inside Irmas eyewall,6.5627,56,8
"Fall Out Boy donates gardening kits, food education to 20k Chicago students Rock band Fall ",,Chicago,Chicago,2.8517,50,1
ALERT Mandatory evacuation for those in mobile homes in Orange County Orlando area FL TAKE SHELTER Irma ,"SHELTER, evacuation, ALERT","Orlando,  Orange County","Orange County, Florida, Orlando",4.4008,51,6
Irma destroyed our family tree at my grandparents house in Florida ,destroyed,Florida,"house, Florida",3.1326,43,3
"Home repair supplies after Irma. The HomeDepot in North Miami Beach, FL ",,Miami Beach,"Home Depot, North Miami Beach, FL",6.2399,47,8
nytimesworld I must have missed hearing about all the help Trump offered to Mexico after the earthquake. And to Cuba and the Caribbean and to ,earthquake,"Cuba,  Mexico",mx world i must have missed hearing about all the help trump offered to mexico after the earthquake.,5.4899,59,19
Donate to Houston Flood Relief and Incubus will match up to 15000. incubus houstonstrong donation charity ,"Relief, Flood",Houston,"Houston, National Park Service, Incubus",5.9629,55,9
"steady winds and rain, in Lexington, S. C. I am using Facebook and Twitter to relay emergency info regarding Irma. ",emergency,Lexington,"Lexington, S. C., Facebook, Twitter, Irma",7.9697,56,12
HurricaneIrma makes landfall in Miami Beach with flash flooding rain amp; damaging winds ,,Miami Beach,"Miami Beach, flash flooding, damaging winds",5.4859,49,8
Nevada is proud to house the fema Recovery Support Center for victims of HurricaneHarvey amp; HurricaneIrma Great opportunity to serve. ,Support, Nevada,"Nevada,femaacenter",7.7464,60,7
Everything you need to know about Florida evacuations and shelters ahead of Hurricane Irma making landfall ,,Florida,"Florida, Esc row, shelters",11.1537,49,6
"We keep helping victims of Harvey Hurrican We raise with SalvationArmy 130, 0000 for those ",,Harvey,"Harvey Hurrican, 130 (ZIP code)",14.6479,53,12
"13 confirmed dead in Florida due to the aftermath of Irma, 6 being elderly from a nursing home that lost power ",aftermath,Florida,"Florida, Nursing Home",7.0148,54,4
From Oakland to Harvey to Irma Urban search and rescue team responds to hurricane ravaged Houston and Florida ,"rescue, search","Florida,  Houston,  Harvey,  Oakland","Oakland, Harvey, Irma, Houston, Florida",4.6396,50,10
